,osmid,geometry,fclass,name
2371,486360009,POINT (-77.022099 38.8999562),cafe,Starbucks
2372,486360016,POINT (-77.0221058 38.8995167),electronics,Radio Shack
2373,486360024,POINT (-77.0221058 38.8994373),fast_food,Chop'T Creative Salad Co.
2374,486360082,POINT (-77.0216526 38.8985441),fast_food,Chipotle Mexican Grill
2375,486360129,POINT (-77.0216472 38.8983352),fast_food,McDonald's
2376,486527101,POINT (-77.022131 38.898733),restaurant,Legal Sea Foods
2377,486527130,POINT (-77.0226816 38.897895),cafe,Courtyard Cafe
2378,486527145,POINT (-77.0216338 38.8977154),fast_food,Dunkin Donuts
2379,486527186,POINT (-77.0221058 38.8993183),cafe,Potbelly
2380,487493227,POINT (-77.0287742 38.9171584),fast_food,Ben's Chili Bowl
2381,487493301,POINT (-77.0321681 38.9168567),fast_food,McDonald's
2382,488370905,POINT (-77.0317177 38.9189228),pharmacy,CVS
2383,488881227,POINT (-77.0553144 38.9295977),cafe,Starbucks
2384,490254356,POINT (-77.0374064 38.928339),laundry,24 Hours Laundry
2385,490254359,POINT (-77.0374468 38.9284205),hair_salon,Golden Scissors
2386,490254362,POINT (-77.0374639 38.9284806),restaurant,Mayflower
2387,490254367,POINT (-77.0372494 38.9264506),fast_food,Pica Taco
2388,490254378,POINT (-77.0374382 38.9294621),laundry,Pan American Laundry
2389,490254383,POINT (-77.0374038 38.9293486),dry_cleaner,Mount Pleasant Cleaners
2390,490254386,POINT (-77.0373781 38.9292885),hair_salon,Elizabeth Beauty Salon
2391,490254388,POINT (-77.0374949 38.9285914),restaurant,Ercilia's
2392,490254398,POINT (-77.0378759 38.9294287),cafe,Dos Gringos
2393,490254403,POINT (-77.0376871 38.928948),restaurant,Haydee's Restaurant
2394,490254409,POINT (-77.0374639 38.9295289),dollar_store,Dollar Star
2395,490254417,POINT (-77.0379102 38.9295155),currency_exchange,Banagricola de El Salvadore
